,Frequency
17-02847-001-0x0009-Alarms-Cluster-XML-PICS.xml,2
16-02800-011-PRO-BDB-v3.0.1-XML-PICS-final.xml,4
FGHC3-PICS-BDB-3-0-1.xml,1
docs-13-0209-18-00ha-ha-1-2-pics-in-xml.xml,2
16-02800-003-PRO_BDB-BDB-XML-PICS_Wiser_40_300_Series_Module_Dimmer_V1.xml,2
._Electrical Measurement & Meter Cluster Only ZHA.xml,3
docs-13-0209-15-00ha-ha-1-2-pics-in-xml.xml,1
16-02801-002-0x0000-Basic-Cluster-XML-PICS_SmartButton.xml,1
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_2gang2ChannelRelay_V3.xml,1
17-02934-001-0x0b05-Diagnostics-Cluster-XML-PICS_WiserL&S_2gang1ChanSh.xml,1
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_2gang1ChannelShutter_V1.xml,1
16-02804-003-0x0004-Groups-Cluster-XML-DUT-PICS.xml,3
21-ZigBee Home Automation 1.2 Product Information Conformity Statement (PICS) in XML Format.xml,3
._16-02615-002-PRO_GP-Proxy-Basic-XML-PICS.xml,4
._21-ZigBee Home Automation 1.2 Product Information Conformity Statement (PICS) in XML Format.xml,3
17-02924-001-0x0002-Device-Temp-Config-Cluster-XML-PICS.xml,1
EVA Scene Selector_0x0000-Basic-Cluster-XML-PICS_v01.xml,1
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_2gang1ChannelRelay_V3.xml,1
idlock-0x0101-Door-Lock-Cluster-XML-PICS.xml,1
0x0101,7
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_1gang2ChannelElecRelay_V3.xml,1
16-02801-002-0x0000-Basic-Cluster-XML-PICS_WiserL&S_1gang2ChannelDim_V1.xml,2
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_1gang2ChannelDimmer_V1.xml,1
16-02800-011-PRO-BDB-v3.0.1-XML-PICS_plug.xml,4
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_1gang1ChannelDaliDimmer_V1.xml,1
16-02800-003-PRO_BDB-BDB-XML-PICS_elko_pushbuttonRelay_V3.xml,1
LUMI HA PICS (Device Temperature& Alarm &Time).xml,1
17-02934-002-0x0b05-Diagnostics-Cluster-XML-DUT-PICS.xml,1
IAS Zone cluster.xml,1
itemProps5.xml,5
item5.xml,5
docs-13-0209-20-00ha-ha-1-2-pics-in-xml_20190918.xml,1
docs-13-0209-20-00ha-ha-1-2-pics-in-xml.xml,3
16-02800-011-PRO-BDB-v3.0.1-XML-PICS (2).xml,2
Door Lock - Home Automation PICS.xml,2
._EVA Meter Reader_0x0019-OTA-Cluster-XML-PICS_v02.xml,1
0x0b01,2
16-02800-001-BDB-BDB-XML-PICS.xml,1
LUMI HA PICS (Device Temperature& Alarm &Time)(1).xml,1
HA PICS (Diagnostics Cluster Only).xml,1
Samsung_WASH_PICS-LevelControl.xml,1
Samsung_WASH_PICS-Identify.xml,1
Samsung_WASH_PICS-TemperatureMeasurement.xml,1
Samsung_WASH_PICS-PowerConfig.xml,1
Samsung_WASH_PICS-IAS-WD.xml,1
Samsung_WASH_PICS-ZHA-1.2.xml,1
Samsung_WASH_PICS-Time.xml,1
Samsung_WASH_PICS-Poll-Control.xml,1
Samsung_WASH_PICS-OnOff.xml,1
Samsung_WASH_PICS-ColorControl.xml,1
Samsung_WASH_PICS-OTA.xml,1
Samsung_WASH_PICS-Basic.xml,1
Samsung_WASH_PICS-Groups.xml,1
Samsung_WASH_PICS-Diagnostics.xml,1
home_gateway-0x0000-Basic-Cluster-XML-PICS.xml,1
LS02-16-02800-011-PRO-BDB-v3.0.1-XML-PICS.xml,1
SmartThings_HubV3_PICS-ColorControl.xml,5
SmartThings_HubV3_PICS-OTA.xml,5
SmartThings_HubV3_PICS-Groups.xml,5
SmartThings_HubV3_PICS-Basic.xml,5
SmartThings_HubV3_PICS-LevelControl.xml,5
SmartThings_HubV3_PICS-Identify.xml,5
SmartThings_HubV3_PICS-OnOff.xml,5
SmartThings_HubV3_PICS-TemperatureMeasurement.xml,5
SmartThings_HubV3_PICS-PowerConfig.xml,5
16-02800-003-PRO_BDB-BDB-XML-PICS_Wiser_40_300_Series_Module_Switch_2A_V1.xml,1
meter_docs-13-0209-21-ZigBee Home Automation 1.2 Product Information Conformity Statement (PICS) in XML Format.xml,2
16-02815-002-0x0001-Power-Config-Cluster-XML-PICS_SmartSiren.xml,1
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_micromodule_Dimmer_V1.xml,1
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_1gang1ChannelElecRelay_V3.xml,1
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_2gang2ChannelDimmer_V4.xml,1
docs-13-0209-21-ZigBee Home Automation 1.2 Product Information Conformity Statement (PICS) in XML Format_Thermostat.xml,2
._docs-13-0209-21-ZigBee Home Automation 1.2 Product Information Conformity Statement (PICS) in XML Format_Thermostat.xml,2
._SmartThings_HubV3_PICS-Groups.xml,3
._SmartThings_HubV3_PICS-ColorControl.xml,3
._SmartThings_HubV3_PICS-PowerConfig.xml,3
._SmartThings_HubV3_PICS-Identify.xml,3
._SmartThings_HubV3_PICS-OTA.xml,3
._SmartThings_HubV3_PICS-OnOff.xml,3
._SmartThings_HubV3_PICS-LevelControl.xml,3
._SmartThings_HubV3_PICS-TemperatureMeasurement.xml,3
